#
 0,                  non,LGBM,  0.21,  0.30, *-                  |                   
#
 1,                    DS,SVR,  0.40,  0.63,  *-                 |                   
 1,                   DS,LGBM,  0.41,  0.61,  *-                 |                   
 1,                   DS2,SVR,  0.42,  0.69,  *-                 |                   
 1,                   non,SVR,  0.48,  0.79,  *-                 |                   
 1,                  DS2,LGBM,  0.49,  0.67,  *-                 |                   
#
 2,                  non,asIs,  0.50,  0.74,  *--                |                   
 2,                    DS2,RR,  0.51,  0.49,  *-                 |                   
 2,                    DS2,LR,  0.51,  0.50,  *-                 |                   
#
 3,                   non,LSR,  0.53,  0.55,  *-                 |                   
 3,                    non,RR,  0.54,  0.51,  *-                 |                   
 3,                     DS,RR,  0.56,  0.46,  *-                 |                   
 3,                   RS,LGBM,  0.56,  0.80,  *--                |                   
 3,                   DS2,LSR,  0.56,  0.52,  *-                 |                   
 3,                    DS,LSR,  0.57,  0.44,  *-                 |                   
 3,                     DS,LR,  0.57,  0.44,  *-                 |                   
 3,                    non,LR,  0.58,  0.55,  *-                 |                   
 3,                    RS,SVR,  0.60,  0.82,  *---               |                   
#
 4,                  DS2,asIs,  0.61,  0.74,  *--                |                   
 4,                   RS,asIs,  0.62,  0.65,  *--                |                   
 4,                    RS,LSR,  0.65,  0.67,  *--                |                   
#
 5,                   DS,asIs,  0.67,  0.81, -* --               |                   
 5,                     RS,LR,  0.69,  0.75, -* --               |                   
 5,                     RS,RR,  0.69,  0.66,  *--                |                   
 5,               kmeans-5,k5,  0.78,  0.86,   *---              |                   
 5,               kmeans-3,k3,  0.86,  0.90, - *----             |                   
#
 6,               kmeans-3,k1,  0.88,  1.05,   *---              |                   
 6,               kmeans-5,k3,  0.89,  0.92, - *---              |                   
 6,               kmeans-1,k1,  0.96,  1.31, - * ---             |                   
 6,               kmeans-5,k1,  0.99,  1.31, - * ---             |                   


