#
 0,                  non,LGBM,  0.36,  0.38,  *--                |                   
 0,                    non,LR,  0.39,  0.40,  *--                |                   
 0,                    DS2,LR,  0.43,  0.45, -*--                |                   
 0,                     DS,LR,  0.46,  0.41, -*--                |                   
 0,                    non,RR,  0.50,  0.46, - *--               |                   
 0,                     RS,LR,  0.52,  0.56, - *---              |                   
 0,                    DS2,RR,  0.60,  0.55, - *---              |                   
 0,                   non,SVR,  0.60,  0.80, - * ----            |                   
 0,                     DS,RR,  0.61,  0.57, - *--               |                   
 0,                   DS2,SVR,  0.62,  0.43, - *--               |                   
 0,                  non,asIs,  0.62,  0.43, - *----             |                   
 0,                  DS2,LGBM,  0.62,  0.36, - *---              |                   
 0,                   DS2,LSR,  0.63,  0.41, - *---              |                   
 0,                   DS,LGBM,  0.64,  0.36,  -*---              |                   
 0,                    DS,LSR,  0.65,  0.41, - *--               |                   
#
 1,                    DS,SVR,  0.66,  0.41,   *---              |                   
 1,                     RS,RR,  0.67,  0.65, - * --              |                   
 1,                    RS,LSR,  0.68,  0.68, - * ---             |                   
 1,                   non,LSR,  0.69,  0.46,   *---              |                   
 1,                    RS,SVR,  0.70,  0.56, -  *---             |                   
 1,               kmeans-5,k3,  0.72,  0.79, -  *---             |                   
 1,                   DS,asIs,  0.72,  0.56, -- *---             |                   
 1,               kmeans-5,k5,  0.73,  0.69, -  *---             |                   
 1,                   RS,LGBM,  0.76,  0.44, -- *---             |                   
 1,                   RS,asIs,  0.78,  0.52, -- *--              |                   
 1,                  DS2,asIs,  0.79,  0.59, -  *---             |                   
 1,               kmeans-3,k3,  0.81,  0.74, -  *---             |                   
 1,               kmeans-3,k1,  1.03,  0.96, -   *-----          |                   
 1,               kmeans-5,k1,  1.22,  0.86, -    *----          |                   
#
 2,               kmeans-1,k1,  1.24,  0.86, -    *----          |                   


