"DS,LGBM",287.6
"DS,LR",273.19
"DS,LSR",273.33
"DS,RR",273.15
"DS,SVR",287.23
"DS,asIs",268.4
"DS,k1",367.36
"DS,k3",376.3
"DS,k5",386.28
"DS,mid-leaf",271.76
"RS,LGBM",173.13
"RS,LR",160.52
"RS,LSR",160.67
"RS,RR",160.51
"RS,SVR",174.38
"RS,asIs",155.54
"RS,k1",262.35
"RS,k3",271.32
"RS,k5",281.34
"RS,mid-leaf",159.06
"non,LGBM",1046.65
"non,LR",912.97
"non,LSR",913.68
"non,RR",912.31
"non,SVR",18657.24
"non,asIs",3.15
"non,k1",1087.23
"non,k3",1095.75
"non,k5",1106.03
"non,mid-leaf",909.54
